Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
Lost & Found: The CUNY Poetics Document Initiative,http://lostandfoundbooks.org,Press,"Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Interviews, Political, Translation",2010,"New York, NY",Kendra Sullivan,Publisher,"We publish original texts by figures central to and associated with New American Poetry. Poised at the intersection of scholarly investigation, innovative publishing, and cultural preservation, each Lost & Found chapbook emphasizes the importance of collaborative and archival research.  Lost & Found is characterized by its careful attention to the interplay of poetry, poetics, friendship, and politics. Working in personal and institutional archives located throughout the country and abroad, our editors illuminate understudied aspects of literary, cultural, and political history.  The research at the heart of our publications is conducted by students and fellows under the guidance of an extended scholarly community, and supported by private donors, foundations, and the Center for the Humanities.  Each year, these efforts result in the production of a new Lost & Found series that includes extra-poetic material such as correspondence, journals, teaching materials, notebooks and transcriptions of lectures. Working alongside living writers and their heirs, the imprint also organizes public programs that promote new, cooperative models of textual scholarship and publication.  In addition, Lost & Found has joined with select publishers for book length projects emerging from our research, appearing under the general title Lost & Found Elsewhere.",no Charges Writers A Submission/Reading Fee no Author Payments copies Contests no Facebook https://www.facebook.com/cunypoetics Instagram https://www.instagram.com/cunypoetics/,"Asterism, Direct Sale"
Lost Horse Press,http://www.losthorsepress.org,Press,"Creative Nonfiction, Poetry, Essays, Translation",1998,"Milan, MI",Grace Mahoney,Publisher,"Lost Horse Press brings underrepresented voices and culturally valuable works of art to the public, enriches arts and literature education, and cultivates literacy by publishing works of literature, running literary prize competitions, and contributing cultural, educational, and publishing programs. 
Lost Horse Press primarily publishes poetry and is known for its Contemporary Ukrainian Poetry Series.","no Fee Amount $28 (Idaho Prize for Poetry submissions) Author Payments royalties, copies Contests yes Contest Guidelines https://losthorsepress.submittable.com/submit/345436/the-idaho-prize-for-poetry-2026","Asterism Books, Washington State University"
Lost Kite Editions,http://lostkite.org,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Drama, Environment Nature, Essays, Experimental, Feminist, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Sci Fi Fantasy Speculative, Translation, Visual Art",2026,"Minneapolis, MN",Mike Alberti,Director,"Lost Kite Editions (LKE) is an independent, nonprofit publisher of literary poetry, fiction, creative nonfiction, and ephemera based in Minneapolis, Minnesota. We champion writing that is original and visionary, urgent and insurgent. Our books seek to reshape the literary landscape by creating space for voices and literary practices that have been constrained, erased, or overlooked.  LKE grows out of a longstanding partnership between writers incarcerated in Minnesota prisons and non-incarcerated writers affiliated with the Minnesota Prison Writing Workshop. Since 2011, we have collaborated to publish the work of incarcerated writers in both internal mediums and public venues of national reach. In 2023, we published American Precariat: Voices of Exclusion, a first-of-its kind anthology of essays curated by incarcerated editors, which featured such notable writers as Kiese Laymon, Kao Kalia Yang, and Lacy M. Johnson, and Valeria Luiselli.  In 2026, we extended this model by launching Lost Kite Editions as an independent press. Our unique editorial process integrates editors whose lives have been directly impacted by the carceral system and editors whose lives have not. The books we publish are similarly integrative: we welcome submissions from writers with a variety of experiences whose work expands the way we see and understand the world.  In prison, a “kite” is a message, often a note handwritten on a piece of paper and then folded and passed between people. It’s a way to communicate a need, a question, a plan, or a matter of urgency. Lost Kite Editions seeks to elevate messages and the messengers that have yet to find their readers.","Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments cash, copies Contests no",Itasca Books
Lost Penny Press,https://lostpennypress.com/,Press,"Poetry, Drama",2025,"Chicago, IL",Jody Burke-Kaiser,Managing Editor,"We are an independent publisher, producing four poetry chapbooks, two recorded songs, and two one act plays a year.
Through bringing extraordinary work to publication and supporting that work through launch parties, readings, and festival appearances we hope to build a creative community that is diverse, supportive, and joyful.",Yes Submission Guidelines URL https://lostpennypress.com/poetry Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments copies Contests no,Through our website
Madville Publishing,https://madvillepublishing.com,Press,"Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Visual Art",2018,"Lake Dallas, TX",Kimberly Davis,Director,"Madville’s mission is to present language in a playful, imaginative way. English is our first language, but we adore code switching and regionalisms from around the world. We publish poetry, fiction, and nonfiction that straddles borders. While our authors generally hail from the English-speaking academic community, our audience extends beyond the narrow confines of the academy into the popular market, particularly with regard to our fiction, where we have a tendency to stray into adventurous, fantastic, and dystopian realities.",No Contests no,
Magic Helicopter Press,http://www.magichelicopterpress.com,Press,"Audio, Essays, Fiction, Poetry, Translation, Visual Art",2007,"NM, 87505",Mike Young,Publisher,"Magic Helicopter Press was born in Ashland, Oregon in 2007. It teethed in the Pioneer Valley of Massachusetts from 2007-2011, lived in Baltimore for a year, moved back to Northampton, MA in 2012, spent 6 of 2015 and 2016's seasons in Portland, OR, and now lives under vigas in Santa Fe, NM.  If you're curious about the kind of work we publish, please buy our books and visit NOÖ Journal.  Magic Helicopter Press does the following:  • Releases books
• And e-books & chapbooks
• Organizes literary tours
• Sets up online workshops
• Offers multimedia poetry: videos and games
• Employs gimmickry whenever possible  We are focused on publishing across platforms, mediums and ""the universe."" Our paper books are collectible art items, not unlike Dale Earnhardt commemorative plates. Our e-books are not paper books melted onto the screen but books aware of their digital space.  We also publish experimental multimedia projects: poetry videos and poetry video games. But we call them all books.  We are literature with feet—for open mics and reading tours—and fingers—for online workshops and collaborative projects. But we call it all live.  We are literature with a passiflora caerulea for a rotor. We land on your head.  Magic Helicopter titles are distributed via magichelicoprepress.com and Small Press Distribution. We also maintain close relationships with excellent indie bookstores and ventures across the country.",,
Making Waves: A West Michigan Review,http://www.ludingtonwriters.org/mwwm,"Magazine, Press","Fiction, Poetry, Audio, Essays, Graphic Novels Comics, Reviews, Translation, Visual Art",2014,"Ludington, MI",Nicole Birkett,Editor in Chief,"Making Waves: A West Michigan Literary Review is a product of Ludington Writers, a diverse group of wordsmith enthusiasts and practitioners. Inspired by each other and the beauty of the lakeshore and landscapes around us, our mission is to engender creativity within our local community and beyond.",No Charges Writers A Submission/Reading Fee no Contests no,
Manic D Press,https://www.manicdpress.com,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",1984,"San Francisco, CA",Jennifer Joseph,Publisher,"Manic D Press was founded by Jennifer Joseph in 1984. A literary press based in San Francisco, California publishing poetry, fiction, creative nonfiction, memoir, graphic novels, and children's books, Manic D represents a diverse group of poets and writers, with emphasis on those who have been shunned by the traditional publishing establishment for lacking commercial viability, regardless of their talent or future promise. Manic D has expanded its mission to offer refuge to established writers escaping from the commercial publishing parallel universe. In publishing and promoting work by poets and writers from marginalized communities, Manic D seeks to move their work and ideas towards the center while propelling the culture forward to a place of inclusivity, equity, and social justice. Manic D authors include Justin Chin, Adrienne Su, Jeffrey McDaniel, Myriam Gurba, Maw Shein Win, Beth Lisick, Marci Blackman, Jack Hirschman, Thea Hillman, Lynn Breedlove, Francesca Lia Block, and Michael Bernard Loggins. Manic D Press books have been translated into 12 languages. Distribution to the trade throughout the world is provided by Consortium/Ingram.",,
"Marsh Hawk Press, Inc.",https://www.marshhawkpress.org,Press,Poetry,2001,"East Rockaway, New York",Sandy McIntosh,Publisher,"Since its founding in 2001, Marsh Hawk Press has focused on the relationship between poetry and the visual arts, publishing the ekphrastic poetry of Sharon Dolin, the sculptural poetry of Eileen R. Tabios and Thomas Fink, the abstract-expressionist poetic memoires of Basil King, as well as the award-winning works of Phillip Lopate, Mary Mackey, Steve Fellner, George Quasha and others. The Chapter One Project from Marsh Hawk Press features the memoirs of outstanding poets from diverse backgrounds, recalling the ways by which they found their start as writers. While creative writing programs seek to develop the talents of maturing writers, recondite but essential information about the development of the writing craft will be discovered in the early memoirs—the Chapter One’s—of established poets published in this series .The press also sponsors readings, exhibits, an online magazine, a website with rotating photo gallery space, and several blogs focused on poetry and visual art, as well as awarding the annual Marsh Hawk Press book publication prize, the Robert Creeley Memorial Award and the Rochelle Ratner Memorial Prize. More information may be found at www.marshhawkpress.org.",No Charges Writers A Submission/Reading Fee no Contests no,
Mason Jar Press,https://masonjarpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Experimental",2014,"Baltimore, MD",Mike Shattuck,Managing Editor,"Mason Jar Press is an independent publisher of fiction, poetry, nonfiction, and literary art that mixes it up. We amplify fresh voices and promote bold work that pushes the boundaries of literary norms. We believe literature should not only sustain readers but also inspire their curiosity to examine the status quo.  The press publishes full-length books of prose, poetry, and everything in between, including a semiannual literary journal, Jarnal. We especially look to publish and promote both established and emerging writers from previously overlooked or underrepresented groups, such as the BIPOC and LBGTQ+ communities, in addition to translations from underrepresented languages, with a focus on those from the global south.",Yes Submission Guidelines URL https://masonjarpress.com/submissions Reading Period Year round Charges Writers A Submission/Reading Fee no Contests no,
Match Factory Editions,https://matchfactoryeditions.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Essays, Experimental, Feminist, Graphic Novels Comics, Sci Fi Fantasy Speculative, Translation",2025,"Chicago, IL",Snezana Zabic,Editor,"Match Factory Editions is a press for fired-up poetry, fiction, nonfiction, and everything in-between. We champion fabulous stories that tell a deeper truth. We don’t tolerate nonsense unless it’s the kind that makes us laugh. Like smoke, we go high, and we go low. We publish books by writers and for readers with working-class roots, small-town memories, or experiences of downward mobility. Match Factory Editions is the place for all who missed the gravy train or were never offered the fare.  Our publishing model is based on solidarity. Two or more single-author books develop simultaneously, with their authors collaborating on editing, proofreading, layout, and marketing. Pairs or small groups of authors share their editing skills and their networks to turn already brilliant manuscripts into beautiful books ready to reach the hands and eyes of the readers who need them.",No Charges Writers A Submission/Reading Fee no Contests no,
Mayapple Press,http://www.mayapplepress.com,Press,"Fiction, Poetry, Translation, Visual Art",1979,"Woodstock, NYI",Judith Kerman,Publisher,"Mayapple Press is a small literary press founded in 1978 by poet and editor Judith Kerman. We celebrate literature that is both challenging and accessible: poetry that transcends the categories of ""mainstream"" and ""avant-garde""; women's writing; the Great Lakes/Northeastern culture; the recent immigrant experience; poetry in translation; science fiction poetry.",,
Meadowlark Press,https://www.meadowlarkbookstore.com/,Press,"Essays, Fiction, Poetry, Visual Art",2014,"Emporia, KS",Tracy Million Simmons,Publisher,"Specializing in Books by Authors from the Heartland Since 2014  Meadowlark Books is an independent publisher, born of a desire to produce high-quality books for print and electronic delivery. Our goal is to create a network and system of support for today’s independent author. Our service is to ensure that the stories we love and believe in are presented to readers in a manner that enhances an author’s work.  We are home to 105 Meadowlark Reader: A Kansas Journal of Creative Nonfiction.  We are home of the Birdy Poetry Prize.",,
Mercer University Press,https://www.mupress.org/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Mystery Crime, Regional, Religious",1979,"Macon, GA",Mary Beth Kosowski,Director of Marketing,"Established in 1979, Mercer University Press has published more than 1,800 books, releasing 35-40 titles annually. Mercer University Press supports the work of the University in achieving excellence and scholarly discipline in the fields of liberal learning, professional knowledge, and regional exploration by making the results of scholarly investigation and literary excellence available to the worldwide community.  Publishing authors from across the United States and abroad, the Press seeks and acquires manuscripts that contribute to the advancement of knowledge in the humanities with a focus on history, philosophy, religion, literature, and Southern culture.",Yes,
Micromance Magazine,http://micromancemagazine.substack.com,"Online, Press","Fiction, Poetry, Flash Fiction",2024,"Cookeville, Tennessee",G. Lynn Brown,Founder/EIC,"Micromance Magazine is the only flash fiction lit mag 100% dedicated to Love Lit - genre romance, love stories, women's fiction and romantic poetry. Micromance fills a need in the writing community by providing a platform for romance writers that didn't exist prior to 2024.",,
Middle West Press LLC,http://www.middlewestpress.com,Press,"Essays, Fiction, Poetry, Visual Art",2003,"Johnston, IA",Randy Brown,Editor-Publisher,"Middle West Press LLC is a Johnston, Iowa-based editor and publisher of non-fiction, fiction, journalism, and poetry. As an independent micro-press, we publish from one to four titles annually.  In its publishing operations, Middle West Press LLC specializes in book-length projects, such as themed literary and non-fiction anthologies, as well as single-author poetry collections. We are particularly interested in telling stories rooted in the American Midwest (which we define as “the geographic area acquired through the Louisiana Purchase”), although we are not limited to arbitrary boundaries.  Regarding our business model: We are a traditional press. We are not a “hybrid,” “vanity,” or “subsidized” press. We pay our authors—even if its just a token advance, or a small royalty; they do not pay us. We do not require authors to guarantee a given number of pre-sales, although we are motivated to work with authors who have established relationships with readers via blogs, social media, and other platforms.  As a secondary mission—beyond the American Midwest—we are also motivated to illuminate and complicate modern stereotypes related to military service and veterancy. We want to challenge readers to go beyond Hollywood’s “American Snipers and Navy SEALs” and “TYFYS.” Past and present military service members, family members, and others are invited to submit work. We also think that “everyone has an experience with the military, even if only as taxpayer and voter.”  More generally, we are interested in celebrating and featuring voices such as those of women, writers of color, writers who identify as LGBTQ+, and other historically marginalized populations.",No Contests no,
Milk and Cake Press,https://milkandcakepress.wordpress.com,Press,Poetry,2018,"Hamilton, OH",Kim Jacobs-Beck,,"Milk and Cake Press seeks to publish an eclectic collection of poems. We love language, the sounds it creates, and the power of it to name and shape. We welcome work from a diverse range of poets, including women, people of color, and those who identify as LGBTQIA. We will make inclusive decisions about the poets and poems we publish.",No,
Milltown Press,https://milltownpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Graphic Novels Comics, Visual Art",2021,"Marysville, WA",Mary Senter Email [email protected],,"Milltown Press strives to publish quality literary works that shine a light on the historical and contemporary experiences of marginalized individuals, and to amplify the voices of writers who traditionally have  been ignored in the literary world.",,
Minerva Projects,https://minervaprojects.org/,Press,"Creative Nonfiction, Fiction, Poetry, Feminist, Interviews, Translation, Visual Art",2017,"Pine Plains, NY",Yasmeen Siddiqui,Founding Artistic Director,"Minerva Projects publishes artist-centric books under the premise that language is pivotal to and an expansion of the visual arts experience.  Minerva fosters communities of artists and audiences, through gatherings, to re-inscribe the future, to pull the rug out from the idea that all is preordained. Our community is built by:  Feminists: Minerva is informed by responses to over a century of feminist publishing and expands upon them to create books that reimagine stories and tropes into new forms; books that challenge hegemony, complacency and monocultures.  We believe that a liberated, feminist future is imagined through the relentless and disciplined reinterpretation of the social.  Minerva is a bridge that offers pathways to better understanding the place of women from spatial, psychological, and spiritual locations.  Translators: The press shares space in a vibrant and expansive field of small independent publishers.  We work in the nexus where artists and translators cooperate.  We define an artist as a creator, meaning musicians, poets, composers, writers, painters, sculptors and filmmakers.  Translators are interpreters, including editors, writers, curators, historians and professional translators.  Minerva’s culture is sustained by the collaboration and energy of this group of contributors and continues to grow through the work of our staff and board.  Wanderers:  Each Minerva project assumes an unexpected form, a result of matchmaking and nurturing new combinations of meaning makers so that they can create. To write the unexpected.  Concepts are organically conceived and allowed to grow unfettered by a production model or outcome-based requirements.  Minerva’s process-centric approach promotes the intersection of a multitude of vantage points and styles.",No Charges Writers A Submission/Reading Fee no Contests no,
Minerva Rising Press,http://minervarising.com/,Press,"Fiction, Poetry, Essays, Reviews, Visual Art",2012,"Tampa, FL",Kim Brown,Executive Editor,"Minerva Rising, an independent literary press, celebrates the creativity and wisdom in every woman by giving them space to tell their stories and to tell them well.  We pride ourselves on building a supportive community of women, because we believe that when women come together, we flourish.",No Charges Writers A Submission/Reading Fee no Contests no,
Miracle Monocle,https://louisville.edu/miraclemonocle,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental, Feminist, Graphic Novels Comics, Interviews, Reviews, Translation, Visual Art",2009,"Louisville, KY",Dr. Sarah Anne Strickley,Faculty Editor,"Miracle Monocle is an online journal of innovative literary and visual art. Published bi-annually, the journal features poems, short stories, literary nonfiction, and a broad range of experimental works. We pride ourselves on serving as a home for flash and micro fictions of all varieties, as well as works with genre indeterminacies, fresh collaborations, and re-invigorations of more traditional forms.",No Charges Writers A Submission/Reading Fee no Contests no,
Monday Editions,https://www.mondayeditions.com,Press,"Poetry, Essays",2024,"Las Cruces, New Mexico",X. P. Callahan,Publisher,"We publish chapbooks of poetry and essays in limited editions of 50 to 100 copies, each copy signed and numbered by the author. We will also publish an open edition if the limited edition sells out and demand exists. We don’t ask authors to pay for any part of the publishing process, we relinquish all financial interest in the books we publish, we leave marketing and distribution in the hands of authors (but with strong support from us), and we forgo all income from sales. This arrangement keeps us from being mistaken for a vanity press, a hybrid press, a subscription-based press, or a self-publishing service. It also leaves us free to focus on esuring that each book bearing our imprint meets the editorial and design standards that define Monday Editions.",No Charges Writers A Submission/Reading Fee no Contests no,
Mountain State Press,https://www.mountainstatepress.org,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Essays, Feminist, Regional",1978,"Scott Depot, West Virginia",Cat Pleska,President/Editor-in-chief,"Mountain State Press promotes writing in Appalachia, with an emphasis on West Virginia works, by publishing literary books written by authors throughout the region. Since 1978, the Press has published manuscripts varying in style and subject matter which hold appeal throughout Appalachia, the United States, and the world.  Mountain State Press offers talented writers a resource for publishing and an opportunity to contribute to a “regional voice.” We are honored to open up our culture and voice through writing.  Mountain State Press is a 501 (c) 3 nonprofit.",No Charges Writers A Submission/Reading Fee no Contests no,
Mouthfeel Press,https://www.mouthfeelbooks.com,Press,"Fiction, Poetry, Translation, Visual Art",2009,"Huntsville, Texas",Maria Miranda Maloney,Founder / Publisher,Our mission is to foster readership and publish quality books from emerging and established authors whose work is transformative and seeks to uplift readers. We are committed to publishing marginalized voices from throughout the United States and beyond.,No Charges Writers A Submission/Reading Fee no Contests no,
Nat 1 Publishing,https://nat1publishing.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Erotica, Experimental, Flash Fiction, Horror Thriller Suspense, Humor, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2022,"Auburn, ME",Brandan Roberts,Board President,"Nat 1 Publishing is a non-profit publishing house focusing on literary fiction, fantasy, science fiction, and humorous literature, aiming to provide an outlet for both established and emerging authors particularly those from marginalized backgrounds—to be represented. We strive to cultivate a diverse and inclusive literary landscape, providing a platform for imaginative storytelling that reflects the rich tapestry of human experience. Through our publications, we seek to inspire curiosity, foster creativity, and promote inclusivity within the speculative fiction community, ultimately contributing to a more diverse and vibrant literary landscape.","yes Submission Guidelines URL https://nat1publishing.com/submit/ Reading Period Year round Response Time 3-8 months Author Payments royalties, cash, copies Contests no Facebook https://www.facebook.com/nat1publishing/ Instagram https://www.instagram.com/nat1pub/","Amazon, IngramSpark, Barnes and Noble, MagCloud, Audible"
New American Press,http://www.newamericanpress.com,Press,"Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2002,"Grafton, WI",David Bowen,Publisher/Editor-in-Chief,"New American Press is an independent literary publisher committed to bringing readers the best in contemporary fiction, nonfiction, poetry, and translations from across the United States and around the world. We believe that books have the potential to offer readers new and compelling visions of the world, and we’re committed to bringing those visions to life with careful attention to each book’s design, production, and distribution.  Annually, we award a New American Fiction Prize and a New American Poetry Prize, each for a full-length book that we publish and tell all our friends about.  We also seek to support and spotlight the flourishing crop of Midwestern writers who consistently produce work that is innovative, engaging, finely crafted, and strong in voice. To that end, New American Press releases a new anthology of Midwestern writing each year: New Stories from the Midwest on even years, and New Poetry from the Midwest on odd years.  Our affiliated literary journal, MAYDAY Magazine, presents new writing, commentary, and visual art to a growing community of international readers.",,
New Croton Review,https://NewCrotonReview.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Essays, Flash Fiction, Humor, Visual Art",2022,"Cortlandt Manor, NY",Jim Christensen,Director,"The Croton Review stared publishing poetry, fiction and nonfiction in the 1980s, and it became nationally heralded publication.    Publication lapsed in the late 1980s, but resumed in 2022 as the ""New Croton Review"" and added photography and visual art.  It's published on Amazon as a full-color paperback and Kindle book, and on Google Play Books and Apple Books as a eBook.  Our goal is to give authors and artists a worldwide platform to share their work.",,
new words {press},https://newwordspress.com,Press,Poetry,2023,"New York, NY",brooklyn baggett,Managing Editor,"The mission of new words {press} is to elevate emerging trans* & gender-expansive voices. We want work that takes risks and erases boundaries in form, content, diction, and process. While there is a review process for submissions, we are not afraid of work that would likely be rejected by mainstream cis journals.  Our focus is poetry, experimental work, and hybrid.",no Charges Writers A Submission/Reading Fee no Contests no,
Next Page Press,http://www.nextpage-press.com,Press,Poetry,2021,"San Antonio, TX",Laura Van Prooyen,Founder/Publisher,"​Next Page Press is an independent publisher based in San Antonio, TX. 
We publish contemporary poetry that is alive in language, clear in voice, and that fosters new thinking about how we make meaning in our lives. We are drawn to poems attentive to both image and sound. Next Page is committed to publishing professionally designed, beautiful books that feel good in the hand. 
As a small press, we value community and collaboration and aim to build relationships with our authors and audiences. Next Page seeks writers who embrace working together to promote and create conversations around the books we publish. We hold a roll-up-the-sleeves attitude and work well with authors who actively take a role in getting word out about their books. 
We look for submissions from a diverse range of writers, and we will make inclusive decisions about the authors we publish. While open to new and emerging voices, Next Page is especially interested in working with poets looking for a home for a second or third book.",,
Night Picnic Press LLC,https://www.nightpicnic.net,"Magazine, Press","Essays, Fiction, Poetry, Visual Art",2018,"New York, New York",Igor V. Zaitsev,Dr.,"Night Picnic is a literary journal that publishes novels, novellas, plays, short and flash stories, fairytales for adults, poetry, interviews, essays (including popular science essays), letters to the editors, and artwork. We seek to share and celebrate all that is strange, dark, jubilant, complex, confusing, scary, mystical, fantastic, multidimensional, and metaphysical.",,
Nightshade Press,https://www.keystone.edu/presses/nightshade-press/,Press,"Fiction, Poetry, Visual Art",1988,"La Plume, PA",Raymond Hammond,Editor,Bringing literature to light.  Nightshade Press publishes literary works of primarily regional authors who belong on a national stage.,,
Nine Mile Art Corp,http://www.ninemile.org,"Magazine, Press",Poetry,2013,"Lafayette, NY",Rachael Zubal-Ruggieri,Managing Editor,"Nine Mile Magazine publishes online twice yearly, showcasing the best work we receive from authors whose poems, energy, and vision seem to us most deeply imbued with life. Our name comes from Nine Mile Creek, a 25-mile long waterway formed 14,000 years ago by glaciers in our region. Like our namesake creek, Nine Mile is varied and surprising, with different writings coming together to form a cohesive whole. Our purpose is to bring great writing to our readers, without consideration of school, style, or form, but with a special focus on Central New York. This includes writers within and outside the mainstream, writers with disabilities, writers of color, writers with marginalized genders and sexual orientations, and writers from different cultures and religions. We believe that poetry is everyone’s art. With our Propel Poetry initiative we are committed to publishing books by first rate poets with disabilities.","no Author Payments cash, copies Formats paperback, digital Contests yes Contest Guidelines https://ninemileartscorp.submittable.com/submit Facebook https://www.facebook.com/NineMileMagazine Number Of Issues Per Year 2 Total Subscribers 3,912 Total Circulation 2 issues per year; 2 books per year via the Propel series Number Of Books Published Per Year 2","SU Press What Do You Look For In A Submission? Our online journal which is published twice yearly remains open to all poets in and outside the mainstream. While we have historically published a wide range of poetry books, we now focus exclusively on publishing books by disabled poets."
Noco Books,https://www.nocobo.co,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental",2024,"Seattle, WA",,,"Noco Books is an independent book publisher in Seattle, WA focused on collecting prose from the edge in the PNW.  Our goal is to publish the finest and most original, eccentric works of fiction and nonfiction from authors based in the PNW.  We also publish a literary magazine called EDGE CITY that is open to authors from anywhere in the United States.",No Charges Writers A Submission/Reading Fee no Contests no,
Nomadic Press,http://www.nomadicpress.org,Press,"Fiction, Poetry, Reviews, Translation, Visual Art",2011,"Oakland, CA",J. K. Fowler,Founder and Executive Director,"Through publications, events, and active community participation, Nomadic Press collectively weaves together platforms for intentionally marginalized voices to take their rightful place within the world of the written and spoken word. Through its limited means, we are simply attempting to help right the centuries’ old violence and silencing that should never have occurred in the first place and build alliances and community partnerships with others who share a collective vision for a future far better than today.",,
NornCrafts,https://norncrafts.com,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Drama, Graphic Novels Comics, Humor, Mystery Crime, Visual Art",2025,"Seattle, WA",Sea,Director,"Spin yarns; weave worlds.  Consciously or unconsciously, many stories rob us of money, agency, and power, reinforcing agendas and narratives that are counter to our desires. At NornCrafts we spin yarns that illustrate this abuse and explore alternatives, knowing that you, and only you, truly know what is best for your story.  We celebrate and explore the power of story, honoring our individual paths as we collectively navigate the challenges of being uniquely human.","Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies, subscription Contests no Facebook https://www.facebook.com/NornCrafts/ Instagram https://www.instagram.com/norncrafts/","Ingram Sparks, Kobo, Nook, Apple, Google, Amazon"
North Texas Review,https://northtexasreview.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Audio, Criticism Reviews, Essays, Visual Art",1972,"Denton, Texas",North Texas Review,Undergraduate Literary Journal,"The North Texas Review is UNT's own literary and arts journal. Since 1972, we've been uplifting and publishing works of prose, poetry, art, and, most recently, music. As of 2024, NTR has opened up our submissions nationwide!",No Charges Writers A Submission/Reading Fee no Contests no,
Octopus Books,https://www.octopusbooks.net/,Press,Poetry,2006,"Omaha, NE",AB Gorham,Publisher,Octopus Books is a small independent poetry press that began in 2006. It publishes work that pushes the boundaries of form and language.,No Charges Writers A Submission/Reading Fee no Contests no,
Odessa Collective,http://www.odessacollective.com,"Magazine, Press","Essays, Fiction, Poetry, Visual Art",2021,"Houston, Texas",Rachel Ann Preston,Director,The mission of the press + magazine is to offer publishing opportunities to everyone. We want to showcase emerging artists and give them a platform to thrive.,No,
Old Scratch Press,https://oldscratchpress.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Visual Art",2023,"Monrovia, CA",Dianne Pearce,Publisher,"IN AN EFFORT TO FOSTER MORE PUBLICATION OPPORTUNITIES FOR FULL-LENGTH POETRY COLLECTIONS TO BE PUBLISHED (AND SHORT-FORM WRITING OF ALL KINDS)  CURRENT WORDS PUBLISHING) STARTED OLD SCRATCH PRESS IN 2023. THE PRESS IS OPERATED 100% ON VOLUNTEER LABOR. IT IS FINANCIALLY SUPPORTED BY CURRENT WORDS PUBLISHING. THERE IS NO CHARGE FOR PUBLICATION.
PUBLICATION DECISIONS ARE MADE BY THE COLLECTIVE MEMBERS.
THE COLLECTIVE IS PROUD TO OFFER ONGOING OPPORTUNITIES FOR PUBLICATION WITH INSTANT NOODLES.  COLLECTIVE:
TO US COLLECTIVE MEANS WE ARE ABOUT HELPING EACH OTHER, NOT SIMPLY PROMOTING OURSELVES.
WE ARE INTERESTED IN MEMBERS WHO SHARE THAT COLLABORATIVE VALUE.
THANK YOU FOR YOUR INTEREST, AND FOR CARING ABOUT SHORT-FORM PROSE, POETRY, & ART AND SHORT-FORM VIDEO.",No Charges Writers A Submission/Reading Fee no Contests no,
